time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
0,0,0,0,0,0,0,0,0,0,69.7793,69.7793,70.038,70.038,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68
0.002,0,0,0,0,0,0,0,0,0,69.7793,69.7793,70.038,70.038,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68
0.004,0,0,0,0,0,0,0,0,0,69.7793,69.7793,70.038,70.038,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68
0.006,0,0,0,0,0,0,0,0,0,69.7793,69.7793,70.038,70.038,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6799
0.008,0,0,0,0,0,0,0,0,0,69.7793,69.7793,70.038,70.038,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6798
0.01,0,0,0,0,0,0,0,0,0,69.5562,69.5562,69.7833,69.7833,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6795
0.012,0,0,0,0,0,0,0,0,0,69.5562,69.5562,69.7833,69.7833,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6793
0.014,0,0,0,0,0,0,0,0,0,69.5562,69.5562,69.7833,69.7833,0,0,0,0,0,0,0,0,0,0,0,0,0,22.679
0.016,0,0,0,0,0,0,0,0,0,69.5562,69.5562,69.7833,69.7833,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6786
0.018,0,0,0,0,0,0,0,0,0,69.5562,69.5562,69.7833,69.7833,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6783
0.02,0,0,0,0,0,0,0,0,0,69.795,69.795,70.0599,70.0599,0,0,0,0,0,0,0,0,0,0,0,0,0,22.678
0.022,0,0,0,0,0,0,0,0,0,69.795,69.795,70.0599,70.0599,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6776
0.024,0,0,0,0,0,0,0,0,0,69.795,69.795,70.0599,70.0599,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6774
0.026,0,0,0,0,0,0,0,0,0,69.795,69.795,70.0599,70.0599,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6771
0.028,0,0,0,0,0,0,0,0,0,69.795,69.795,70.0599,70.0599,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6769
0.03,0,0,0,0,0,0,0,0,0,69.7369,69.7369,70.0074,70.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6767
0.032,0,0,0,0,0,0,0,0,0,69.7369,69.7369,70.0074,70.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6765
0.034,0,0,0,0,0,0,0,0,0,69.7369,69.7369,70.0074,70.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6764
0.036,0,0,0,0,0,0,0,0,0,69.7369,69.7369,70.0074,70.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6762
0.038,0,0,0,0,0,0,0,0,0,69.7369,69.7369,70.0074,70.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,22.676
0.04,0,0,0,0,0,0,0,0,0,69.8141,69.8141,70.056,70.056,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6759
0.042,0,0,0,0,0,0,0,0,0,69.8141,69.8141,70.056,70.056,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6756
0.044,0,0,0,0,0,0,0,0,0,69.8141,69.8141,70.056,70.056,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6754
0.046,0,0,0,0,0,0,0,0,0,69.8141,69.8141,70.056,70.056,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6752
0.048,0,0,0,0,0,0,0,0,0,69.8141,69.8141,70.056,70.056,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6749
0.05,0,0,0,0,0,0,0,0,0,69.8317,69.8317,70.0839,70.0839,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6747
0.052,0,0,0,0,0,0,0,0,0,69.8317,69.8317,70.0839,70.0839,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6744
0.054,0,0,0,0,0,0,0,0,0,69.8317,69.8317,70.0839,70.0839,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6741
0.056,0,0,0,0,0,0,0,0,0,69.8317,69.8317,70.0839,70.0839,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6739
0.058,0,0,0,0,0,0,0,0,0,69.8317,69.8317,70.0839,70.0839,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6736
0.06,0,0,0,0,0,0,0,0,0,69.802,69.802,70.0668,70.0668,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6734
0.062,0,0,0,0,0,0,0,0,0,69.802,69.802,70.0668,70.0668,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6732
0.064,0,0,0,0,0,0,0,0,0,69.802,69.802,70.0668,70.0668,0,0,0,0,0,0,0,0,0,0,0,0,0,22.673
0.066,0,0,0,0,0,0,0,0,0,69.802,69.802,70.0668,70.0668,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6728
0.068,0,0,0,0,0,0,0,0,0,69.802,69.802,70.0668,70.0668,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6726
0.07,0,0,0,0,0,0,0,0,0,69.6092,69.6092,69.8619,69.8619,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6724
0.072,0,0,0,0,0,0,0,0,0,69.6092,69.6092,69.8619,69.8619,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6722
0.074,0,0,0,0,0,0,0,0,0,69.6092,69.6092,69.8619,69.8619,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6719
0.076,0,0,0,0,0,0,0,0,0,69.6092,69.6092,69.8619,69.8619,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6717
0.078,0,0,0,0,0,0,0,0,0,69.6092,69.6092,69.8619,69.8619,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6715
0.08,0,0,0,0,0,0,0,0,0,69.7522,69.7522,70.0032,70.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6713
0.082,0,0,0,0,0,0,0,0,0,69.7522,69.7522,70.0032,70.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,22.671
0.084,0,0,0,0,0,0,0,0,0,69.7522,69.7522,70.0032,70.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6708
0.086,0,0,0,0,0,0,0,0,0,69.7522,69.7522,70.0032,70.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6705
0.088,0,0,0,0,0,0,0,0,0,69.7522,69.7522,70.0032,70.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6703
0.09,0,0,0,0,0,0,0,0,0,69.7639,69.7639,70.0226,70.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6701
0.092,0,0,0,0,0,0,0,0,0,69.7639,69.7639,70.0226,70.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6698
0.094,0,0,0,0,0,0,0,0,0,69.7639,69.7639,70.0226,70.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6696
0.096,0,0,0,0,0,0,0,0,0,69.7639,69.7639,70.0226,70.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6694
0.098,0,0,0,0,0,0,0,0,0,69.7639,69.7639,70.0226,70.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6692
0.1,0,0,0,0,0,0,0,0,0,69.8563,69.8563,70.1123,70.1123,0,0,0,0,0,0,0,0,0,0,0,0,0,22.669
0.102,0,0,0,0,0,0,0,0,0,69.8563,69.8563,70.1123,70.1123,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6687
0.104,0,0,0,0,0,0,0,0,0,69.8563,69.8563,70.1123,70.1123,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6685
0.106,0,0,0,0,0,0,0,0,0,69.8563,69.8563,70.1123,70.1123,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6683
0.108,0,0,0,0,0,0,0,0,0,69.8563,69.8563,70.1123,70.1123,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6681
0.11,0,0,0,0,0,0,0,0,0,69.7454,69.7454,69.9984,69.9984,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6678
0.112,0,0,0,0,0,0,0,0,0,69.7454,69.7454,69.9984,69.9984,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6676
0.114,0,0,0,0,0,0,0,0,0,69.7454,69.7454,69.9984,69.9984,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6674
0.116,0,0,0,0,0,0,0,0,0,69.7454,69.7454,69.9984,69.9984,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6672
