time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
0,0,0,0,0,0,0,0,0,0,45.9701,45.9701,46.1412,46.1412,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0.002,0,0,0,0,0,0,0,0,0,45.9701,45.9701,46.1412,46.1412,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0.004,0,0,0,0,0,0,0,0,0,45.9701,45.9701,46.1412,46.1412,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0.006,0,0,0,0,0,0,0,0,0,45.9701,45.9701,46.1412,46.1412,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9999
0.008,0,0,0,0,0,0,0,0,0,45.9701,45.9701,46.1412,46.1412,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9997
0.01,0,0,0,0,0,0,0,0,0,46.2359,46.2359,46.3766,46.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9995
0.012,0,0,0,0,0,0,0,0,0,46.2359,46.2359,46.3766,46.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9992
0.014,0,0,0,0,0,0,0,0,0,46.2359,46.2359,46.3766,46.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9989
0.016,0,0,0,0,0,0,0,0,0,46.2359,46.2359,46.3766,46.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9986
0.018,0,0,0,0,0,0,0,0,0,46.2359,46.2359,46.3766,46.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9982
0.02,0,0,0,0,0,0,0,0,0,46.2219,46.2219,46.4024,46.4024,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9978
0.022,0,0,0,0,0,0,0,0,0,46.2219,46.2219,46.4024,46.4024,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9975
0.024,0,0,0,0,0,0,0,0,0,46.2219,46.2219,46.4024,46.4024,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9972
0.026,0,0,0,0,0,0,0,0,0,46.2219,46.2219,46.4024,46.4024,0,0,0,0,0,0,0,0,0,0,0,0,0,14.997
0.028,0,0,0,0,0,0,0,0,0,46.2219,46.2219,46.4024,46.4024,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9968
0.03,0,0,0,0,0,0,0,0,0,46.2698,46.2698,46.4561,46.4561,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9967
