time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
0,0,0,0,0,0,0,0,0,0,73.0321,73.0321,73.3025,73.3025,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7
0.002,0,0,0,0,0,0,0,0,0,73.0321,73.0321,73.3025,73.3025,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7
0.004,0,0,0,0,0,0,0,0,0,73.0321,73.0321,73.3025,73.3025,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7
0.006,0,0,0,0,0,0,0,0,0,73.0321,73.0321,73.3025,73.3025,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6999
0.008,0,0,0,0,0,0,0,0,0,73.0321,73.0321,73.3025,73.3025,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6998
0.01,0,0,0,0,0,0,0,0,0,72.6592,72.6592,72.8977,72.8977,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6995
0.012,0,0,0,0,0,0,0,0,0,72.6592,72.6592,72.8977,72.8977,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6993
0.014,0,0,0,0,0,0,0,0,0,72.6592,72.6592,72.8977,72.8977,0,0,0,0,0,0,0,0,0,0,0,0,0,23.699
0.016,0,0,0,0,0,0,0,0,0,72.6592,72.6592,72.8977,72.8977,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6986
0.018,0,0,0,0,0,0,0,0,0,72.6592,72.6592,72.8977,72.8977,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6983
0.02,0,0,0,0,0,0,0,0,0,72.946,72.946,73.2221,73.2221,0,0,0,0,0,0,0,0,0,0,0,0,0,23.698
0.022,0,0,0,0,0,0,0,0,0,72.946,72.946,73.2221,73.2221,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6976
0.024,0,0,0,0,0,0,0,0,0,72.946,72.946,73.2221,73.2221,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6974
0.026,0,0,0,0,0,0,0,0,0,72.946,72.946,73.2221,73.2221,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6971
0.028,0,0,0,0,0,0,0,0,0,72.946,72.946,73.2221,73.2221,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6969
0.03,0,0,0,0,0,0,0,0,0,72.9622,72.9622,73.2441,73.2441,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6967
0.032,0,0,0,0,0,0,0,0,0,72.9622,72.9622,73.2441,73.2441,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6965
0.034,0,0,0,0,0,0,0,0,0,72.9622,72.9622,73.2441,73.2441,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6964
0.036,0,0,0,0,0,0,0,0,0,72.9622,72.9622,73.2441,73.2441,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6962
0.038,0,0,0,0,0,0,0,0,0,72.9622,72.9622,73.2441,73.2441,0,0,0,0,0,0,0,0,0,0,0,0,0,23.696
0.04,0,0,0,0,0,0,0,0,0,72.901,72.901,73.1551,73.1551,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6958
0.042,0,0,0,0,0,0,0,0,0,72.901,72.901,73.1551,73.1551,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6956
0.044,0,0,0,0,0,0,0,0,0,72.901,72.901,73.1551,73.1551,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6954
0.046,0,0,0,0,0,0,0,0,0,72.901,72.901,73.1551,73.1551,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6952
0.048,0,0,0,0,0,0,0,0,0,72.901,72.901,73.1551,73.1551,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6949
0.05,0,0,0,0,0,0,0,0,0,73.0058,73.0058,73.2694,73.2694,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6946
0.052,0,0,0,0,0,0,0,0,0,73.0058,73.0058,73.2694,73.2694,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6944
0.054,0,0,0,0,0,0,0,0,0,73.0058,73.0058,73.2694,73.2694,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6941
0.056,0,0,0,0,0,0,0,0,0,73.0058,73.0058,73.2694,73.2694,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6939
0.058,0,0,0,0,0,0,0,0,0,73.0058,73.0058,73.2694,73.2694,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6936
0.06,0,0,0,0,0,0,0,0,0,72.7192,72.7192,72.9949,72.9949,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6934
0.062,0,0,0,0,0,0,0,0,0,72.7192,72.7192,72.9949,72.9949,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6932
0.064,0,0,0,0,0,0,0,0,0,72.7192,72.7192,72.9949,72.9949,0,0,0,0,0,0,0,0,0,0,0,0,0,23.693
0.066,0,0,0,0,0,0,0,0,0,72.7192,72.7192,72.9949,72.9949,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6928
0.068,0,0,0,0,0,0,0,0,0,72.7192,72.7192,72.9949,72.9949,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6926
0.07,0,0,0,0,0,0,0,0,0,72.9912,72.9912,73.2558,73.2558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6923
0.072,0,0,0,0,0,0,0,0,0,72.9912,72.9912,73.2558,73.2558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6921
0.074,0,0,0,0,0,0,0,0,0,72.9912,72.9912,73.2558,73.2558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6919
0.076,0,0,0,0,0,0,0,0,0,72.9912,72.9912,73.2558,73.2558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6917
0.078,0,0,0,0,0,0,0,0,0,72.9912,72.9912,73.2558,73.2558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6915
0.08,0,0,0,0,0,0,0,0,0,72.7578,72.7578,73.0207,73.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6912
0.082,0,0,0,0,0,0,0,0,0,72.7578,72.7578,73.0207,73.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,23.691
0.084,0,0,0,0,0,0,0,0,0,72.7578,72.7578,73.0207,73.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6907
0.086,0,0,0,0,0,0,0,0,0,72.7578,72.7578,73.0207,73.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6905
0.088,0,0,0,0,0,0,0,0,0,72.7578,72.7578,73.0207,73.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6903
0.09,0,0,0,0,0,0,0,0,0,72.9343,72.9343,73.2041,73.2041,0,0,0,0,0,0,0,0,0,0,0,0,0,23.69
0.092,0,0,0,0,0,0,0,0,0,72.9343,72.9343,73.2041,73.2041,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6898
0.094,0,0,0,0,0,0,0,0,0,72.9343,72.9343,73.2041,73.2041,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6896
0.096,0,0,0,0,0,0,0,0,0,72.9343,72.9343,73.2041,73.2041,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6894
0.098,0,0,0,0,0,0,0,0,0,72.9343,72.9343,73.2041,73.2041,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6891
0.1,0,0,0,0,0,0,0,0,0,72.8239,72.8239,73.0914,73.0914,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6889
0.102,0,0,0,0,0,0,0,0,0,72.8239,72.8239,73.0914,73.0914,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6887
0.104,0,0,0,0,0,0,0,0,0,72.8239,72.8239,73.0914,73.0914,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6885
0.106,0,0,0,0,0,0,0,0,0,72.8239,72.8239,73.0914,73.0914,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6882
0.108,0,0,0,0,0,0,0,0,0,72.8239,72.8239,73.0914,73.0914,0,0,0,0,0,0,0,0,0,0,0,0,0,23.688
0.11,0,0,0,0,0,0,0,0,0,72.7305,72.7305,72.9953,72.9953,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6878
0.112,0,0,0,0,0,0,0,0,0,72.7305,72.7305,72.9953,72.9953,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6876
0.114,0,0,0,0,0,0,0,0,0,72.7305,72.7305,72.9953,72.9953,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6873
0.116,0,0,0,0,0,0,0,0,0,72.7305,72.7305,72.9953,72.9953,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6871
0.118,0,0,0,0,0,0,0,0,0,72.7305,72.7305,72.9953,72.9953,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6869
0.12,0,0,0,0,0,0,0,0,0,72.7739,72.7739,73.0411,73.0411,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6866
0.122,0,0,0,0,0,0,0,0,0,72.7739,72.7739,73.0411,73.0411,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6864
0.124,0,0,0,0,0,0,0,0,0,72.7739,72.7739,73.0411,73.0411,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6862
0.126,0,0,0,0,0,0,0,0,0,72.7739,72.7739,73.0411,73.0411,0,0,0,0,0,0,0,0,0,0,0,0,0,23.686
0.128,0,0,0,0,0,0,0,0,0,72.7739,72.7739,73.0411,73.0411,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6857
0.13,0,0,0,0,0,0,0,0,0,72.9697,72.9697,73.2372,73.2372,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6855
0.132,0,0,0,0,0,0,0,0,0,72.9697,72.9697,73.2372,73.2372,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6853
0.134,0,0,0,0,0,0,0,0,0,72.9697,72.9697,73.2372,73.2372,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6851
0.136,0,0,0,0,0,0,0,0,0,72.9697,72.9697,73.2372,73.2372,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6848
0.138,0,0,0,0,0,0,0,0,0,72.9697,72.9697,73.2372,73.2372,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6846
0.14,0,0,0,0,0,0,0,0,0,72.6806,72.6806,72.9467,72.9467,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6844
0.142,0,0,0,0,0,0,0,0,0,72.6806,72.6806,72.9467,72.9467,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6842
0.144,0,0,0,0,0,0,0,0,0,72.6806,72.6806,72.9467,72.9467,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6839
0.146,0,0,0,0,0,0,0,0,0,72.6806,72.6806,72.9467,72.9467,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6837
0.148,0,0,0,0,0,0,0,0,0,72.6806,72.6806,72.9467,72.9467,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6835
0.15,0,0,0,0,0,0,0,0,0,72.7627,72.7627,73.0292,73.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6832
0.152,0,0,0,0,0,0,0,0,0,72.7627,72.7627,73.0292,73.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,23.683
0.154,0,0,0,0,0,0,0,0,0,72.7627,72.7627,73.0292,73.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6828
0.156,0,0,0,0,0,0,0,0,0,72.7627,72.7627,73.0292,73.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6826
0.158,0,0,0,0,0,0,0,0,0,72.7627,72.7627,73.0292,73.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6823
0.16,0,0,0,0,0,0,0,0,0,72.7726,72.7726,73.0397,73.0397,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6821
0.162,0,0,0,0,0,0,0,0,0,72.7726,72.7726,73.0397,73.0397,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6819
0.164,0,0,0,0,0,0,0,0,0,72.7726,72.7726,73.0397,73.0397,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6817
0.166,0,0,0,0,0,0,0,0,0,72.7726,72.7726,73.0397,73.0397,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6814
0.168,0,0,0,0,0,0,0,0,0,72.7726,72.7726,73.0397,73.0397,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6812
0.17,0,0,0,0,0,0,0,0,0,72.9564,72.9564,73.223,73.223,0,0,0,0,0,0,0,0,0,0,0,0,0,23.681
