time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
0,0,0,0,0,0,0,0,0,0,77.0443,77.0443,77.3296,77.3296,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.002,0,0,0,0,0,0,0,0,0,77.0443,77.0443,77.3296,77.3296,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.004,0,0,0,0,0,0,0,0,0,77.0443,77.0443,77.3296,77.3296,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.006,0,0,0,0,0,0,0,0,0,77.0443,77.0443,77.3296,77.3296,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9999
0.008,0,0,0,0,0,0,0,0,0,77.0443,77.0443,77.3296,77.3296,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9998
0.01,0,0,0,0,0,0,0,0,0,76.8978,76.8978,77.1509,77.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9996
0.012,0,0,0,0,0,0,0,0,0,76.8978,76.8978,77.1509,77.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9993
0.014,0,0,0,0,0,0,0,0,0,76.8978,76.8978,77.1509,77.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,24.999
0.016,0,0,0,0,0,0,0,0,0,76.8978,76.8978,77.1509,77.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9987
0.018,0,0,0,0,0,0,0,0,0,76.8978,76.8978,77.1509,77.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9983
0.02,0,0,0,0,0,0,0,0,0,76.8109,76.8109,77.1013,77.1013,0,0,0,0,0,0,0,0,0,0,0,0,0,24.998
0.022,0,0,0,0,0,0,0,0,0,76.8109,76.8109,77.1013,77.1013,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9977
0.024,0,0,0,0,0,0,0,0,0,76.8109,76.8109,77.1013,77.1013,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9974
