model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size;dropout_rate
LSTM;185;2;80;160;1;5;12;1;0
LSTM;186;2;90;160;1;5;12;1;0
LSTM;187;2;100;160;1;5;12;1;0
LSTM;188;2;110;160;1;5;12;1;0
LSTM;189;2;120;160;1;5;12;1;0
LSTM;190;2;80;176;1;5;12;1;0
LSTM;191;2;90;176;1;5;12;1;0
LSTM;192;2;100;176;1;5;12;1;0
LSTM;193;2;110;176;1;5;12;1;0
LSTM;194;2;120;176;1;5;12;1;0
LSTM;195;2;80;192;1;5;12;1;0
LSTM;196;2;90;192;1;5;12;1;0
LSTM;197;2;100;192;1;5;12;1;0
LSTM;198;2;110;192;1;5;12;1;0
LSTM;199;2;120;192;1;5;12;1;0
LSTM;200;2;80;208;1;5;12;1;0
LSTM;201;2;90;208;1;5;12;1;0
LSTM;202;2;100;208;1;5;12;1;0
LSTM;203;2;110;208;1;5;12;1;0
LSTM;204;2;120;208;1;5;12;1;0
LSTM;205;2;80;224;1;5;12;1;0
LSTM;206;2;90;224;1;5;12;1;0
LSTM;207;2;100;224;1;5;12;1;0
LSTM;208;2;110;224;1;5;12;1;0
LSTM;209;2;120;224;1;5;12;1;0
LSTM;210;2;80;160;2;5;12;1;0.1
LSTM;211;2;90;160;2;5;12;1;0.1
LSTM;212;2;100;160;2;5;12;1;0.1
LSTM;213;2;110;160;2;5;12;1;0.1
LSTM;214;2;120;160;2;5;12;1;0.1
LSTM;215;2;80;176;2;5;12;1;0.1
LSTM;216;2;90;176;2;5;12;1;0.1
LSTM;217;2;100;176;2;5;12;1;0.1
LSTM;218;2;110;176;2;5;12;1;0.1
LSTM;219;2;120;176;2;5;12;1;0.1
LSTM;220;2;80;192;2;5;12;1;0.1
LSTM;221;2;90;192;2;5;12;1;0.1
LSTM;222;2;100;192;2;5;12;1;0.1
LSTM;223;2;110;192;2;5;12;1;0.1
LSTM;224;2;120;192;2;5;12;1;0.1
LSTM;225;2;80;208;2;5;12;1;0.1
LSTM;226;2;90;208;2;5;12;1;0.1
LSTM;227;2;100;208;2;5;12;1;0.1
LSTM;228;2;110;208;2;5;12;1;0.1
LSTM;229;2;120;208;2;5;12;1;0.1
LSTM;230;2;80;224;2;5;12;1;0.1
LSTM;231;2;90;224;2;5;12;1;0.1
LSTM;232;2;100;224;2;5;12;1;0.1
LSTM;233;2;110;224;2;5;12;1;0.1
LSTM;234;2;120;224;2;5;12;1;0.1
LSTM;235;2;130;96;1;5;12;1;0
LSTM;236;2;140;96;1;5;12;1;0
LSTM;237;2;150;96;1;5;12;1;0
LSTM;238;2;160;96;1;5;12;1;0
LSTM;239;2;170;96;1;5;12;1;0
LSTM;240;2;130;112;1;5;12;1;0
LSTM;241;2;140;112;1;5;12;1;0
LSTM;242;2;150;112;1;5;12;1;0
LSTM;243;2;160;112;1;5;12;1;0
LSTM;244;2;170;112;1;5;12;1;0
