model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size;dropout_rate
LSTM;185;2;90;176;1;5;12;1;0
LSTM;186;2;100;176;1;5;12;1;0
LSTM;187;2;110;176;1;5;12;1;0
LSTM;188;2;90;192;1;5;12;1;0
LSTM;189;2;100;192;1;5;12;1;0
LSTM;190;2;110;192;1;5;12;1;0
LSTM;191;2;90;208;1;5;12;1;0
LSTM;192;2;100;208;1;5;12;1;0
LSTM;193;2;110;208;1;5;12;1;0
LSTM;194;2;90;176;2;5;12;1;0.1
LSTM;195;2;100;176;2;5;12;1;0.1
LSTM;196;2;110;176;2;5;12;1;0.1
LSTM;197;2;90;192;2;5;12;1;0.1
LSTM;198;2;100;192;2;5;12;1;0.1
LSTM;199;2;110;192;2;5;12;1;0.1
LSTM;200;2;90;208;2;5;12;1;0.1
LSTM;201;2;100;208;2;5;12;1;0.1
LSTM;202;2;110;208;2;5;12;1;0.1
LSTM;203;2;140;112;1;5;12;1;0
LSTM;204;2;150;112;1;5;12;1;0
LSTM;205;2;160;112;1;5;12;1;0
LSTM;206;2;140;128;1;5;12;1;0
LSTM;207;2;150;128;1;5;12;1;0
LSTM;208;2;160;128;1;5;12;1;0
LSTM;209;2;140;144;1;5;12;1;0
LSTM;210;2;150;144;1;5;12;1;0
LSTM;211;2;160;144;1;5;12;1;0
LSTM;212;2;140;112;2;5;12;1;0.1
LSTM;213;2;150;112;2;5;12;1;0.1
LSTM;214;2;160;112;2;5;12;1;0.1
LSTM;215;2;140;128;2;5;12;1;0.1
LSTM;216;2;150;128;2;5;12;1;0.1
LSTM;217;2;160;128;2;5;12;1;0.1
LSTM;218;2;140;144;2;5;12;1;0.1
LSTM;219;2;150;144;2;5;12;1;0.1
LSTM;220;2;160;144;2;5;12;1;0.1
LSTM;221;2;40;112;1;5;12;1;0
LSTM;222;2;50;112;1;5;12;1;0
LSTM;223;2;60;112;1;5;12;1;0
LSTM;224;2;40;128;1;5;12;1;0
LSTM;225;2;50;128;1;5;12;1;0
LSTM;226;2;60;128;1;5;12;1;0
LSTM;227;2;40;144;1;5;12;1;0
LSTM;228;2;50;144;1;5;12;1;0
LSTM;229;2;60;144;1;5;12;1;0
LSTM;230;2;40;112;2;5;12;1;0.1
LSTM;231;2;50;112;2;5;12;1;0.1
LSTM;232;2;60;112;2;5;12;1;0.1
LSTM;233;2;40;128;2;5;12;1;0.1
LSTM;234;2;50;128;2;5;12;1;0.1
LSTM;235;2;60;128;2;5;12;1;0.1
LSTM;236;2;40;144;2;5;12;1;0.1
LSTM;237;2;50;144;2;5;12;1;0.1
LSTM;238;2;60;144;2;5;12;1;0.1
