model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
RNN;153;2;50;64;1;5;12;1
RNN;154;2;100;64;1;5;12;1
RNN;155;2;150;64;1;5;12;1
RNN;156;2;200;64;1;5;12;1
RNN;157;2;50;96;1;5;12;1
RNN;158;2;100;96;1;5;12;1
RNN;159;2;150;96;1;5;12;1
RNN;160;2;200;96;1;5;12;1
RNN;161;2;50;128;1;5;12;1
RNN;162;2;100;128;1;5;12;1
RNN;163;2;150;128;1;5;12;1
RNN;164;2;200;128;1;5;12;1
RNN;165;2;50;192;1;5;12;1
RNN;166;2;100;192;1;5;12;1
RNN;167;2;150;192;1;5;12;1
RNN;168;2;200;192;1;5;12;1
RNN;169;2;50;64;2;5;12;1
RNN;170;2;100;64;2;5;12;1
RNN;171;2;150;64;2;5;12;1
RNN;172;2;200;64;2;5;12;1
RNN;173;2;50;96;2;5;12;1
RNN;174;2;100;96;2;5;12;1
RNN;175;2;150;96;2;5;12;1
RNN;176;2;200;96;2;5;12;1
RNN;177;2;50;128;2;5;12;1
RNN;178;2;100;128;2;5;12;1
RNN;179;2;150;128;2;5;12;1
RNN;180;2;200;128;2;5;12;1
RNN;181;2;50;192;2;5;12;1
RNN;182;2;100;192;2;5;12;1
RNN;183;2;150;192;2;5;12;1
RNN;184;2;200;192;2;5;12;1
