model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
RNN;153_2;1;50;64;1;5;20;1
RNN;154_2;1;100;64;1;5;20;1
RNN;155_2;1;150;64;1;5;20;1
RNN;156_2;1;200;64;1;5;20;1
RNN;157_2;1;50;96;1;5;20;1
RNN;158_2;1;100;96;1;5;20;1
RNN;159_2;1;150;96;1;5;20;1
RNN;160_2;1;200;96;1;5;20;1
RNN;161_2;1;50;128;1;5;20;1
RNN;162_2;1;100;128;1;5;20;1
RNN;163_2;1;150;128;1;5;20;1
RNN;164_2;1;200;128;1;5;20;1
RNN;165_2;1;50;192;1;5;20;1
RNN;166_2;1;100;192;1;5;20;1
RNN;167_2;1;150;192;1;5;20;1
RNN;168_2;1;200;192;1;5;20;1
RNN;169_2;1;50;64;2;5;20;1
RNN;170_2;1;100;64;2;5;20;1
RNN;171_2;1;150;64;2;5;20;1
RNN;172_2;1;200;64;2;5;20;1
RNN;173_2;1;50;96;2;5;20;1
RNN;174_2;1;100;96;2;5;20;1
RNN;175_2;1;150;96;2;5;20;1
RNN;176_2;1;200;96;2;5;20;1
RNN;177_2;1;50;128;2;5;20;1
RNN;178_2;1;100;128;2;5;20;1
RNN;179_2;1;150;128;2;5;20;1
RNN;180_2;1;200;128;2;5;20;1
RNN;181_2;1;50;192;2;5;20;1
RNN;182_2;1;100;192;2;5;20;1
RNN;183_2;1;150;192;2;5;20;1
RNN;184_2;1;200;192;2;5;20;1
