model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
RNN;1310;2;140;112;1;5;12;1
RNN;1311;2;140;112;2;5;12;1
RNN;1312;2;140;128;1;5;12;1
RNN;1313;2;140;128;2;5;12;1
RNN;1314;2;140;144;1;5;12;1
RNN;1315;2;140;144;2;5;12;1
RNN;1316;2;150;112;1;5;12;1
RNN;1317;2;150;112;2;5;12;1
RNN;1318;2;150;128;1;5;12;1
RNN;1319;2;150;128;2;5;12;1
RNN;1320;2;150;144;1;5;12;1
RNN;1321;2;150;144;2;5;12;1
RNN;1322;2;160;112;1;5;12;1
RNN;1323;2;160;112;2;5;12;1
RNN;1324;2;160;128;1;5;12;1
RNN;1325;2;160;128;2;5;12;1
RNN;1326;2;160;144;1;5;12;1
RNN;1327;2;160;144;2;5;12;1
RNN;1328;2;140;176;1;5;12;1
RNN;1329;2;140;176;2;5;12;1
RNN;1330;2;140;192;1;5;12;1
RNN;1331;2;140;192;2;5;12;1
RNN;1332;2;140;208;1;5;12;1
RNN;1333;2;140;208;2;5;12;1
RNN;1334;2;150;176;1;5;12;1
RNN;1335;2;150;176;2;5;12;1
RNN;1336;2;150;192;1;5;12;1
RNN;1337;2;150;192;2;5;12;1
RNN;1338;2;150;208;1;5;12;1
RNN;1339;2;150;208;2;5;12;1
RNN;1340;2;160;176;1;5;12;1
RNN;1341;2;160;176;2;5;12;1
RNN;1342;2;160;192;1;5;12;1
RNN;1343;2;160;192;2;5;12;1
RNN;1344;2;160;208;1;5;12;1
RNN;1345;2;160;208;2;5;12;1
RNN;1346;2;40;176;1;5;12;1
RNN;1347;2;40;176;2;5;12;1
RNN;1348;2;40;176;3;5;12;1
RNN;1349;2;40;192;1;5;12;1
RNN;1350;2;40;192;2;5;12;1
RNN;1351;2;40;192;3;5;12;1
RNN;1352;2;40;208;1;5;12;1
RNN;1353;2;40;208;2;5;12;1
RNN;1354;2;40;208;3;5;12;1
RNN;1355;2;50;176;1;5;12;1
RNN;1356;2;50;176;2;5;12;1
RNN;1357;2;50;176;3;5;12;1
RNN;1358;2;50;192;1;5;12;1
RNN;1359;2;50;192;2;5;12;1
RNN;1360;2;50;192;3;5;12;1
RNN;1361;2;50;208;1;5;12;1
RNN;1362;2;50;208;2;5;12;1
RNN;1363;2;50;208;3;5;12;1
RNN;1364;2;60;176;1;5;12;1
RNN;1365;2;60;176;2;5;12;1
RNN;1366;2;60;176;3;5;12;1
RNN;1367;2;60;192;1;5;12;1
RNN;1368;2;60;192;2;5;12;1
RNN;1369;2;60;192;3;5;12;1
RNN;1370;2;60;208;1;5;12;1
RNN;1371;2;60;208;2;5;12;1
RNN;1372;2;60;208;3;5;12;1
