ID;model_type;d_model;dim_ff;num_of_layers;nhead;sequence_size;input_size;output_size;input_id;step_size;dropout
1310;Transformer;16;32;2;2;80;12;1;2;5;0.1
1311;Transformer;16;48;2;2;80;12;1;2;5;0.1
1312;Transformer;16;64;2;2;80;12;1;2;5;0.1
1313;Transformer;32;64;2;2;80;12;1;2;5;0.1
1314;Transformer;32;96;2;2;80;12;1;2;5;0.1
1315;Transformer;32;128;2;2;80;12;1;2;5;0.1
1316;Transformer;64;128;2;2;80;12;1;2;5;0.1
1317;Transformer;64;192;2;2;80;12;1;2;5;0.1
1318;Transformer;64;256;2;2;80;12;1;2;5;0.1
1319;Transformer;16;32;3;2;80;12;1;2;5;0.1
1320;Transformer;16;48;3;2;80;12;1;2;5;0.1
1321;Transformer;16;64;3;2;80;12;1;2;5;0.1
1322;Transformer;32;64;3;2;80;12;1;2;5;0.1
1323;Transformer;32;96;3;2;80;12;1;2;5;0.1
1324;Transformer;32;128;3;2;80;12;1;2;5;0.1
1325;Transformer;64;128;3;2;80;12;1;2;5;0.1
1326;Transformer;64;192;3;2;80;12;1;2;5;0.1
1327;Transformer;64;256;3;2;80;12;1;2;5;0.1
1328;Transformer;16;32;4;2;80;12;1;2;5;0.1
1329;Transformer;16;48;4;2;80;12;1;2;5;0.1
1330;Transformer;16;64;4;2;80;12;1;2;5;0.1
1331;Transformer;32;64;4;2;80;12;1;2;5;0.1
1332;Transformer;32;96;4;2;80;12;1;2;5;0.1
1333;Transformer;32;128;4;2;80;12;1;2;5;0.1
1334;Transformer;64;128;4;2;80;12;1;2;5;0.1
1335;Transformer;64;192;4;2;80;12;1;2;5;0.1
1336;Transformer;64;256;4;2;80;12;1;2;5;0.1
1337;Transformer;16;32;2;4;80;12;1;2;5;0.1
1338;Transformer;16;48;2;4;80;12;1;2;5;0.1
1339;Transformer;16;64;2;4;80;12;1;2;5;0.1
1340;Transformer;32;64;2;4;80;12;1;2;5;0.1
1341;Transformer;32;96;2;4;80;12;1;2;5;0.1
1342;Transformer;32;128;2;4;80;12;1;2;5;0.1
1343;Transformer;64;128;2;4;80;12;1;2;5;0.1
1344;Transformer;64;192;2;4;80;12;1;2;5;0.1
1345;Transformer;64;256;2;4;80;12;1;2;5;0.1
1346;Transformer;16;32;3;4;80;12;1;2;5;0.1
1347;Transformer;16;48;3;4;80;12;1;2;5;0.1
1348;Transformer;16;64;3;4;80;12;1;2;5;0.1
1349;Transformer;32;64;3;4;80;12;1;2;5;0.1
1350;Transformer;32;96;3;4;80;12;1;2;5;0.1
1351;Transformer;32;128;3;4;80;12;1;2;5;0.1
1352;Transformer;64;128;3;4;80;12;1;2;5;0.1
1353;Transformer;64;192;3;4;80;12;1;2;5;0.1
1354;Transformer;64;256;3;4;80;12;1;2;5;0.1
1355;Transformer;16;32;4;4;80;12;1;2;5;0.1
1356;Transformer;16;48;4;4;80;12;1;2;5;0.1
1357;Transformer;16;64;4;4;80;12;1;2;5;0.1
1358;Transformer;32;64;4;4;80;12;1;2;5;0.1
1359;Transformer;32;96;4;4;80;12;1;2;5;0.1
1360;Transformer;32;128;4;4;80;12;1;2;5;0.1
1361;Transformer;64;128;4;4;80;12;1;2;5;0.1
1362;Transformer;64;192;4;4;80;12;1;2;5;0.1
1363;Transformer;64;256;4;4;80;12;1;2;5;0.1
1364;Transformer;16;32;2;8;80;12;1;2;5;0.1
1365;Transformer;16;48;2;8;80;12;1;2;5;0.1
1366;Transformer;16;64;2;8;80;12;1;2;5;0.1
1367;Transformer;32;64;2;8;80;12;1;2;5;0.1
1368;Transformer;32;96;2;8;80;12;1;2;5;0.1
1369;Transformer;32;128;2;8;80;12;1;2;5;0.1
1370;Transformer;64;128;2;8;80;12;1;2;5;0.1
1371;Transformer;64;192;2;8;80;12;1;2;5;0.1
1372;Transformer;64;256;2;8;80;12;1;2;5;0.1
1373;Transformer;16;32;3;8;80;12;1;2;5;0.1
1374;Transformer;16;48;3;8;80;12;1;2;5;0.1
1375;Transformer;16;64;3;8;80;12;1;2;5;0.1
1376;Transformer;32;64;3;8;80;12;1;2;5;0.1
1377;Transformer;32;96;3;8;80;12;1;2;5;0.1
1378;Transformer;32;128;3;8;80;12;1;2;5;0.1
1379;Transformer;64;128;3;8;80;12;1;2;5;0.1
1380;Transformer;64;192;3;8;80;12;1;2;5;0.1
1381;Transformer;64;256;3;8;80;12;1;2;5;0.1
1382;Transformer;16;32;4;8;80;12;1;2;5;0.1
1383;Transformer;16;48;4;8;80;12;1;2;5;0.1
1384;Transformer;16;64;4;8;80;12;1;2;5;0.1
1385;Transformer;32;64;4;8;80;12;1;2;5;0.1
1386;Transformer;32;96;4;8;80;12;1;2;5;0.1
1387;Transformer;32;128;4;8;80;12;1;2;5;0.1
1388;Transformer;64;128;4;8;80;12;1;2;5;0.1
1389;Transformer;64;192;4;8;80;12;1;2;5;0.1
1390;Transformer;64;256;4;8;80;12;1;2;5;0.1
1391;Transformer;16;32;2;2;90;12;1;2;5;0.1
1392;Transformer;16;48;2;2;90;12;1;2;5;0.1
1393;Transformer;16;64;2;2;90;12;1;2;5;0.1
1394;Transformer;32;64;2;2;90;12;1;2;5;0.1
1395;Transformer;32;96;2;2;90;12;1;2;5;0.1
1396;Transformer;32;128;2;2;90;12;1;2;5;0.1
1397;Transformer;64;128;2;2;90;12;1;2;5;0.1
1398;Transformer;64;192;2;2;90;12;1;2;5;0.1
1399;Transformer;64;256;2;2;90;12;1;2;5;0.1
1400;Transformer;16;32;3;2;90;12;1;2;5;0.1
1401;Transformer;16;48;3;2;90;12;1;2;5;0.1
1402;Transformer;16;64;3;2;90;12;1;2;5;0.1
1403;Transformer;32;64;3;2;90;12;1;2;5;0.1
1404;Transformer;32;96;3;2;90;12;1;2;5;0.1
1405;Transformer;32;128;3;2;90;12;1;2;5;0.1
1406;Transformer;64;128;3;2;90;12;1;2;5;0.1
1407;Transformer;64;192;3;2;90;12;1;2;5;0.1
1408;Transformer;64;256;3;2;90;12;1;2;5;0.1
1409;Transformer;16;32;4;2;90;12;1;2;5;0.1
1410;Transformer;16;48;4;2;90;12;1;2;5;0.1
1411;Transformer;16;64;4;2;90;12;1;2;5;0.1
1412;Transformer;32;64;4;2;90;12;1;2;5;0.1
1413;Transformer;32;96;4;2;90;12;1;2;5;0.1
1414;Transformer;32;128;4;2;90;12;1;2;5;0.1
1415;Transformer;64;128;4;2;90;12;1;2;5;0.1
1416;Transformer;64;192;4;2;90;12;1;2;5;0.1
1417;Transformer;64;256;4;2;90;12;1;2;5;0.1
1418;Transformer;16;32;2;4;90;12;1;2;5;0.1
1419;Transformer;16;48;2;4;90;12;1;2;5;0.1
1420;Transformer;16;64;2;4;90;12;1;2;5;0.1
1421;Transformer;32;64;2;4;90;12;1;2;5;0.1
1422;Transformer;32;96;2;4;90;12;1;2;5;0.1
1423;Transformer;32;128;2;4;90;12;1;2;5;0.1
1424;Transformer;64;128;2;4;90;12;1;2;5;0.1
1425;Transformer;64;192;2;4;90;12;1;2;5;0.1
1426;Transformer;64;256;2;4;90;12;1;2;5;0.1
1427;Transformer;16;32;3;4;90;12;1;2;5;0.1
1428;Transformer;16;48;3;4;90;12;1;2;5;0.1
1429;Transformer;16;64;3;4;90;12;1;2;5;0.1
1430;Transformer;32;64;3;4;90;12;1;2;5;0.1
1431;Transformer;32;96;3;4;90;12;1;2;5;0.1
1432;Transformer;32;128;3;4;90;12;1;2;5;0.1
1433;Transformer;64;128;3;4;90;12;1;2;5;0.1
1434;Transformer;64;192;3;4;90;12;1;2;5;0.1
1435;Transformer;64;256;3;4;90;12;1;2;5;0.1
1436;Transformer;16;32;4;4;90;12;1;2;5;0.1
1437;Transformer;16;48;4;4;90;12;1;2;5;0.1
1438;Transformer;16;64;4;4;90;12;1;2;5;0.1
1439;Transformer;32;64;4;4;90;12;1;2;5;0.1
