time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref
0 sec,0.02213,0.02112,-0.001684,-0.75827209304464,-0.00168399999984681,0
0.01 sec,0.02182,0.01911,0,-0.758268605631879,2.55458414838428e-13,0
0.02 sec,0.02141,0.01713,0,-0.758273642340495,-1.19773846873547e-16,0
0.03 sec,0.02088,0.01519,-0.00167558,-0.758265673480014,-0.00167557999983224,0
0.04 sec,0.02024,0.0133,-0.00167558,-0.758279134939577,-0.0016755799995787,0
0.05 sec,0.01948,0.01147,-0.0016419,-0.758255497465197,-0.00164189999958104,0
0.06 sec,0.01861,0.00972,-0.0016419,-0.758297916024476,-0.00164189999958802,0
0.07 sec,0.01763,0.00805,-0.0016419,-0.758220685897529,-0.00164189999958459,0
0.08 sec,0.01655,0.00649,-0.0016419,-0.758361720339416,-0.00164189999959087,0
0.09 sec,0.01536,0.00502,-0.00163348,-0.758100374012798,-0.00163347999958015,0
0.1 sec,0.01408,0.00367,0,-0.758583494240088,2.33952614225874e-13,0
0.11 sec,0.01272,0.00244,-0.00163348,-0.757640185735257,-0.00163347999981069,0
0.12 sec,0.01128,0.00133,-0.00166716,-0.759530268568367,-0.00166715999963449,0
0.13 sec,0.00174,0.00034,-0.00166716,-0.755457183194523,-0.00166715999947779,0
0.14 sec,0,0,0,-0.546822920862344,3.77655805933186e-14,0
0.15 sec,0,0,0,-0.48811370804437,4.18176777927659e-13,0
0.16 sec,0,0,0,-0.489667487339309,-6.36658260833034e-13,0
0.17 sec,0,0,0,-0.493080841852092,7.10296405026511e-13,0
0.18 sec,0,0,0,-0.489157957490364,-7.95407142928362e-13,0
0.19 sec,0,0,-0.00166716,-0.493140399288545,-0.00166715999907587,0
0.2 sec,0,0,-0.00166716,-0.489151355551518,-0.00166716000039057,0
0.21 sec,0,0,-0.00166716,-0.493141417459751,-0.00166715999881963,0
0.22 sec,0,0,-0.00166716,-0.489151184683894,-0.00166716000039157,0
0.23 sec,0,0,-0.00167558,-0.493141464841012,-0.00167557999881856,0
0.24 sec,0,0,-0.00167558,-0.48915117295203,-0.00167558000038952,0
0.25 sec,0,0,0,-0.493141468998983,1.01517232120596e-12,0
0.26 sec,0,0,0,-0.489151171832031,-8.11184452942371e-13,0
0.27 sec,0,0,-0.00167558,-0.493141469410602,-0.00167557999907131,0
0.28 sec,0,0,0,-0.489151171720009,-5.57077821372598e-13,0
0.29 sec,0,0,-0.00170084,-0.493141469451943,-0.00170083999906884,0
0.3 sec,0,0,-0.00170084,-0.489151171708745,-0.00170084000038316,0
0.31 sec,0,0.00048,0,-0.493141469456102,1.01899565174701e-12,0
0.32 sec,0,0.00099,-0.00170084,-0.489151171707612,-0.0017008400006411,0
0.33 sec,0,0.0015,0,-0.493141469456521,1.0190615712391e-12,0
0.34 sec,0,0.00199,0,-0.489151171707498,-8.11193126559751e-13,0
