time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
0,0,0,0,0,0,0,0,0,0,72.2879,72.2879,72.5558,72.5558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48
0.002,0,0,0,0,0,0,0,0,0,72.2879,72.2879,72.5558,72.5558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48
0.004,0,0,0,0,0,0,0,0,0,72.2879,72.2879,72.5558,72.5558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48
0.006,0,0,0,0,0,0,0,0,0,72.2879,72.2879,72.5558,72.5558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4799
0.008,0,0,0,0,0,0,0,0,0,72.2879,72.2879,72.5558,72.5558,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4798
0.01,0,0,0,0,0,0,0,0,0,72.2418,72.2418,72.4779,72.4779,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4795
0.012,0,0,0,0,0,0,0,0,0,72.2418,72.2418,72.4779,72.4779,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4793
0.014,0,0,0,0,0,0,0,0,0,72.2418,72.2418,72.4779,72.4779,0,0,0,0,0,0,0,0,0,0,0,0,0,23.479
0.016,0,0,0,0,0,0,0,0,0,72.2418,72.2418,72.4779,72.4779,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4786
0.018,0,0,0,0,0,0,0,0,0,72.2418,72.2418,72.4779,72.4779,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4783
0.02,0,0,0,0,0,0,0,0,0,72.2266,72.2266,72.5003,72.5003,0,0,0,0,0,0,0,0,0,0,0,0,0,23.478
0.022,0,0,0,0,0,0,0,0,0,72.2266,72.2266,72.5003,72.5003,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4776
0.024,0,0,0,0,0,0,0,0,0,72.2266,72.2266,72.5003,72.5003,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4774
0.026,0,0,0,0,0,0,0,0,0,72.2266,72.2266,72.5003,72.5003,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4771
0.028,0,0,0,0,0,0,0,0,0,72.2266,72.2266,72.5003,72.5003,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4769
0.03,0,0,0,0,0,0,0,0,0,72.2089,72.2089,72.4884,72.4884,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4767
0.032,0,0,0,0,0,0,0,0,0,72.2089,72.2089,72.4884,72.4884,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4765
0.034,0,0,0,0,0,0,0,0,0,72.2089,72.2089,72.4884,72.4884,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4764
0.036,0,0,0,0,0,0,0,0,0,72.2089,72.2089,72.4884,72.4884,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4762
0.038,0,0,0,0,0,0,0,0,0,72.2089,72.2089,72.4884,72.4884,0,0,0,0,0,0,0,0,0,0,0,0,0,23.476
0.04,0,0,0,0,0,0,0,0,0,72.3838,72.3838,72.6352,72.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4758
0.042,0,0,0,0,0,0,0,0,0,72.3838,72.3838,72.6352,72.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4756
0.044,0,0,0,0,0,0,0,0,0,72.3838,72.3838,72.6352,72.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4754
0.046,0,0,0,0,0,0,0,0,0,72.3838,72.3838,72.6352,72.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4752
0.048,0,0,0,0,0,0,0,0,0,72.3838,72.3838,72.6352,72.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4749
0.05,0,0,0,0,0,0,0,0,0,72.1306,72.1306,72.3917,72.3917,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4746
0.052,0,0,0,0,0,0,0,0,0,72.1306,72.1306,72.3917,72.3917,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4744
0.054,0,0,0,0,0,0,0,0,0,72.1306,72.1306,72.3917,72.3917,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4741
0.056,0,0,0,0,0,0,0,0,0,72.1306,72.1306,72.3917,72.3917,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4739
0.058,0,0,0,0,0,0,0,0,0,72.1306,72.1306,72.3917,72.3917,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4736
0.06,0,0,0,0,0,0,0,0,0,72.2693,72.2693,72.5426,72.5426,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4734
0.062,0,0,0,0,0,0,0,0,0,72.2693,72.2693,72.5426,72.5426,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4732
0.064,0,0,0,0,0,0,0,0,0,72.2693,72.2693,72.5426,72.5426,0,0,0,0,0,0,0,0,0,0,0,0,0,23.473
0.066,0,0,0,0,0,0,0,0,0,72.2693,72.2693,72.5426,72.5426,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4728
