time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
0,0,0,0,0,0,0,0,0,0,30.6859,30.6859,30.8,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0.002,0,0,0,0,0,0,0,0,0,30.6859,30.6859,30.8,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0.004,0,0,0,0,0,0,0,0,0,30.6859,30.6859,30.8,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0.006,0,0,0,0,0,0,0,0,0,30.6859,30.6859,30.8,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9999
0.008,0,0,0,0,0,0,0,0,0,30.6859,30.6859,30.8,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9997
0.01,0,0,0,0,0,0,0,0,0,30.8003,30.8003,30.8845,30.8845,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9995
0.012,0,0,0,0,0,0,0,0,0,30.8003,30.8003,30.8845,30.8845,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9992
0.014,0,0,0,0,0,0,0,0,0,30.8003,30.8003,30.8845,30.8845,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9989
0.016,0,0,0,0,0,0,0,0,0,30.8003,30.8003,30.8845,30.8845,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9985
0.018,0,0,0,0,0,0,0,0,0,30.8003,30.8003,30.8845,30.8845,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9981
0.02,0,0,0,0,0,0,0,0,0,30.5395,30.5395,30.6646,30.6646,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9977
0.022,0,0,0,0,0,0,0,0,0,30.5395,30.5395,30.6646,30.6646,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9974
0.024,0,0,0,0,0,0,0,0,0,30.5395,30.5395,30.6646,30.6646,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9972
0.026,0,0,0,0,0,0,0,0,0,30.5395,30.5395,30.6646,30.6646,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9969
0.028,0,0,0,0,0,0,0,0,0,30.5395,30.5395,30.6646,30.6646,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9968
0.03,0,0,0,0,0,0,0,0,0,30.7513,30.7513,30.8835,30.8835,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9966
0.032,0,0,0,0,0,0,0,0,0,30.7513,30.7513,30.8835,30.8835,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9965
0.034,0,0,0,0,0,0,0,0,0,30.7513,30.7513,30.8835,30.8835,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9965
0.036,0,0,0,0,0,0,0,0,0,30.7513,30.7513,30.8835,30.8835,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9963
