time_series,imu_COG_acc_x,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,veh_u
0,0,50.8156,50.8156,51.004,51.004,0,0,0,0,0,0,0,0,0,16.51
0.002,0,50.8156,50.8156,51.004,51.004,0,0,0,0,0,0,0,0,0,16.51
0.004,0,50.8156,50.8156,51.004,51.004,0,0,0,0,0,0,0,0,0,16.51
0.006,0,50.8156,50.8156,51.004,51.004,0,0,0,0,0,0,0,0,0,16.5099
0.008,0,50.8156,50.8156,51.004,51.004,0,0,0,0,0,0,0,0,0,16.5097
0.01,0,50.7395,50.7395,50.8972,50.8972,0,0,0,0,0,0,0,0,0,16.5095
0.012,0,50.7395,50.7395,50.8972,50.8972,0,0,0,0,0,0,0,0,0,16.5092
0.014,0,50.7395,50.7395,50.8972,50.8972,0,0,0,0,0,0,0,0,0,16.5089
0.016,0,50.7395,50.7395,50.8972,50.8972,0,0,0,0,0,0,0,0,0,16.5086
0.018,0,50.7395,50.7395,50.8972,50.8972,0,0,0,0,0,0,0,0,0,16.5082
0.02,0,50.7941,50.7941,50.9912,50.9912,0,0,0,0,0,0,0,0,0,16.5079
0.022,0,50.7941,50.7941,50.9912,50.9912,0,0,0,0,0,0,0,0,0,16.5075
0.024,0,50.7941,50.7941,50.9912,50.9912,0,0,0,0,0,0,0,0,0,16.5073
0.026,0,50.7941,50.7941,50.9912,50.9912,0,0,0,0,0,0,0,0,0,16.507
0.028,0,50.7941,50.7941,50.9912,50.9912,0,0,0,0,0,0,0,0,0,16.5068
0.03,0,50.7983,50.7983,51.0011,51.0011,0,0,0,0,0,0,0,0,0,16.5067
0.032,0,50.7983,50.7983,51.0011,51.0011,0,0,0,0,0,0,0,0,0,16.5065
0.034,0,50.7983,50.7983,51.0011,51.0011,0,0,0,0,0,0,0,0,0,16.5064
0.036,0,50.7983,50.7983,51.0011,51.0011,0,0,0,0,0,0,0,0,0,16.5063
0.038,0,50.7983,50.7983,51.0011,51.0011,0,0,0,0,0,0,0,0,0,16.5061
