time_series,imu_COG_acc_x,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,veh_u
0,0,59.767,59.767,59.9883,59.9883,0,0,0,0,0,0,0,0,0,19.39
0.002,0,59.767,59.767,59.9883,59.9883,0,0,0,0,0,0,0,0,0,19.39
0.004,0,59.767,59.767,59.9883,59.9883,0,0,0,0,0,0,0,0,0,19.39
0.006,0,59.767,59.767,59.9883,59.9883,0,0,0,0,0,0,0,0,0,19.3899
0.008,0,59.767,59.767,59.9883,59.9883,0,0,0,0,0,0,0,0,0,19.3897
0.01,0,59.5365,59.5365,59.7266,59.7266,0,0,0,0,0,0,0,0,0,19.3895
0.012,0,59.5365,59.5365,59.7266,59.7266,0,0,0,0,0,0,0,0,0,19.3893
0.014,0,59.5365,59.5365,59.7266,59.7266,0,0,0,0,0,0,0,0,0,19.3889
0.016,0,59.5365,59.5365,59.7266,59.7266,0,0,0,0,0,0,0,0,0,19.3886
0.018,0,59.5365,59.5365,59.7266,59.7266,0,0,0,0,0,0,0,0,0,19.3883
0.02,0,59.8382,59.8382,60.067,60.067,0,0,0,0,0,0,0,0,0,19.3879
0.022,0,59.8382,59.8382,60.067,60.067,0,0,0,0,0,0,0,0,0,19.3876
0.024,0,59.8382,59.8382,60.067,60.067,0,0,0,0,0,0,0,0,0,19.3873
0.026,0,59.8382,59.8382,60.067,60.067,0,0,0,0,0,0,0,0,0,19.3871
0.028,0,59.8382,59.8382,60.067,60.067,0,0,0,0,0,0,0,0,0,19.3869
0.03,0,59.5782,59.5782,59.8126,59.8126,0,0,0,0,0,0,0,0,0,19.3867
0.032,0,59.5782,59.5782,59.8126,59.8126,0,0,0,0,0,0,0,0,0,19.3865
0.034,0,59.5782,59.5782,59.8126,59.8126,0,0,0,0,0,0,0,0,0,19.3864
0.036,0,59.5782,59.5782,59.8126,59.8126,0,0,0,0,0,0,0,0,0,19.3862
0.038,0,59.5782,59.5782,59.8126,59.8126,0,0,0,0,0,0,0,0,0,19.3861
0.04,0,59.7031,59.7031,59.9059,59.9059,0,0,0,0,0,0,0,0,0,19.3859
0.042,0,59.7031,59.7031,59.9059,59.9059,0,0,0,0,0,0,0,0,0,19.3857
0.044,0,59.7031,59.7031,59.9059,59.9059,0,0,0,0,0,0,0,0,0,19.3855
0.046,0,59.7031,59.7031,59.9059,59.9059,0,0,0,0,0,0,0,0,0,19.3852
0.048,0,59.7031,59.7031,59.9059,59.9059,0,0,0,0,0,0,0,0,0,19.385
0.05,0,59.5784,59.5784,59.7935,59.7935,0,0,0,0,0,0,0,0,0,19.3847
0.052,0,59.5784,59.5784,59.7935,59.7935,0,0,0,0,0,0,0,0,0,19.3844
0.054,0,59.5784,59.5784,59.7935,59.7935,0,0,0,0,0,0,0,0,0,19.3842
0.056,0,59.5784,59.5784,59.7935,59.7935,0,0,0,0,0,0,0,0,0,19.3839
0.058,0,59.5784,59.5784,59.7935,59.7935,0,0,0,0,0,0,0,0,0,19.3837
0.06,0,59.4982,59.4982,59.7283,59.7283,0,0,0,0,0,0,0,0,0,19.3834
0.062,0,59.4982,59.4982,59.7283,59.7283,0,0,0,0,0,0,0,0,0,19.3832
0.064,0,59.4982,59.4982,59.7283,59.7283,0,0,0,0,0,0,0,0,0,19.383
0.066,0,59.4982,59.4982,59.7283,59.7283,0,0,0,0,0,0,0,0,0,19.3828
0.068,0,59.4982,59.4982,59.7283,59.7283,0,0,0,0,0,0,0,0,0,19.3826
0.07,0,59.6359,59.6359,59.8503,59.8503,0,0,0,0,0,0,0,0,0,19.3824
0.072,0,59.6359,59.6359,59.8503,59.8503,0,0,0,0,0,0,0,0,0,19.3822
0.074,0,59.6359,59.6359,59.8503,59.8503,0,0,0,0,0,0,0,0,0,19.382
0.076,0,59.6359,59.6359,59.8503,59.8503,0,0,0,0,0,0,0,0,0,19.3818
0.078,0,59.6359,59.6359,59.8503,59.8503,0,0,0,0,0,0,0,0,0,19.3816
