time_series,imu_COG_acc_x,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,veh_u
0,0,58.6956,58.6956,58.9124,58.9124,0,0,0,0,0,0,0,0,0,19
0.002,0,58.6956,58.6956,58.9124,58.9124,0,0,0,0,0,0,0,0,0,19
0.004,0,58.6956,58.6956,58.9124,58.9124,0,0,0,0,0,0,0,0,0,19
0.006,0,58.6956,58.6956,58.9124,58.9124,0,0,0,0,0,0,0,0,0,18.9999
0.008,0,58.6956,58.6956,58.9124,58.9124,0,0,0,0,0,0,0,0,0,18.9997
0.01,0,58.2796,58.2796,58.4653,58.4653,0,0,0,0,0,0,0,0,0,18.9995
0.012,0,58.2796,58.2796,58.4653,58.4653,0,0,0,0,0,0,0,0,0,18.9993
0.014,0,58.2796,58.2796,58.4653,58.4653,0,0,0,0,0,0,0,0,0,18.9989
0.016,0,58.2796,58.2796,58.4653,58.4653,0,0,0,0,0,0,0,0,0,18.9986
0.018,0,58.2796,58.2796,58.4653,58.4653,0,0,0,0,0,0,0,0,0,18.9982
0.02,0,58.4411,58.4411,58.6656,58.6656,0,0,0,0,0,0,0,0,0,18.9979
0.022,0,58.4411,58.4411,58.6656,58.6656,0,0,0,0,0,0,0,0,0,18.9976
0.024,0,58.4411,58.4411,58.6656,58.6656,0,0,0,0,0,0,0,0,0,18.9973
0.026,0,58.4411,58.4411,58.6656,58.6656,0,0,0,0,0,0,0,0,0,18.9971
0.028,0,58.4411,58.4411,58.6656,58.6656,0,0,0,0,0,0,0,0,0,18.9969
0.03,0,58.3334,58.3334,58.5635,58.5635,0,0,0,0,0,0,0,0,0,18.9967
0.032,0,58.3334,58.3334,58.5635,58.5635,0,0,0,0,0,0,0,0,0,18.9965
0.034,0,58.3334,58.3334,58.5635,58.5635,0,0,0,0,0,0,0,0,0,18.9964
0.036,0,58.3334,58.3334,58.5635,58.5635,0,0,0,0,0,0,0,0,0,18.9963
0.038,0,58.3334,58.3334,58.5635,58.5635,0,0,0,0,0,0,0,0,0,18.9961
0.04,0,58.4647,58.4647,58.6628,58.6628,0,0,0,0,0,0,0,0,0,18.9959
0.042,0,58.4647,58.4647,58.6628,58.6628,0,0,0,0,0,0,0,0,0,18.9957
0.044,0,58.4647,58.4647,58.6628,58.6628,0,0,0,0,0,0,0,0,0,18.9955
0.046,0,58.4647,58.4647,58.6628,58.6628,0,0,0,0,0,0,0,0,0,18.9952
0.048,0,58.4647,58.4647,58.6628,58.6628,0,0,0,0,0,0,0,0,0,18.995
0.05,0,58.3698,58.3698,58.5804,58.5804,0,0,0,0,0,0,0,0,0,18.9947
0.052,0,58.3698,58.3698,58.5804,58.5804,0,0,0,0,0,0,0,0,0,18.9944
0.054,0,58.3698,58.3698,58.5804,58.5804,0,0,0,0,0,0,0,0,0,18.9942
0.056,0,58.3698,58.3698,58.5804,58.5804,0,0,0,0,0,0,0,0,0,18.9939
0.058,0,58.3698,58.3698,58.5804,58.5804,0,0,0,0,0,0,0,0,0,18.9937
0.06,0,58.3924,58.3924,58.6184,58.6184,0,0,0,0,0,0,0,0,0,18.9934
0.062,0,58.3924,58.3924,58.6184,58.6184,0,0,0,0,0,0,0,0,0,18.9932
0.064,0,58.3924,58.3924,58.6184,58.6184,0,0,0,0,0,0,0,0,0,18.993
0.066,0,58.3924,58.3924,58.6184,58.6184,0,0,0,0,0,0,0,0,0,18.9928
0.068,0,58.3924,58.3924,58.6184,58.6184,0,0,0,0,0,0,0,0,0,18.9927
0.07,0,58.2792,58.2792,58.4891,58.4891,0,0,0,0,0,0,0,0,0,18.9925
0.072,0,58.2792,58.2792,58.4891,58.4891,0,0,0,0,0,0,0,0,0,18.9922
0.074,0,58.2792,58.2792,58.4891,58.4891,0,0,0,0,0,0,0,0,0,18.992
0.076,0,58.2792,58.2792,58.4891,58.4891,0,0,0,0,0,0,0,0,0,18.9918
0.078,0,58.2792,58.2792,58.4891,58.4891,0,0,0,0,0,0,0,0,0,18.9916
0.08,0,58.3888,58.3888,58.597,58.597,0,0,0,0,0,0,0,0,0,18.9913
0.082,0,58.3888,58.3888,58.597,58.597,0,0,0,0,0,0,0,0,0,18.9911
0.084,0,58.3888,58.3888,58.597,58.597,0,0,0,0,0,0,0,0,0,18.9909
0.086,0,58.3888,58.3888,58.597,58.597,0,0,0,0,0,0,0,0,0,18.9906
0.088,0,58.3888,58.3888,58.597,58.597,0,0,0,0,0,0,0,0,0,18.9904
0.09,0,58.5481,58.5481,58.7674,58.7674,0,0,0,0,0,0,0,0,0,18.9902
0.092,0,58.5481,58.5481,58.7674,58.7674,0,0,0,0,0,0,0,0,0,18.9899
