time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
0,0,0,0,0,0,0,0,0,0,12.3618,12.3618,12.4074,12.4074,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0.002,0,0,0,0,0,0,0,0,0,12.3618,12.3618,12.4074,12.4074,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0.004,0,0,0,0,0,0,0,0,0,12.3618,12.3618,12.4074,12.4074,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0.006,0,0,0,0,0,0,0,0,0,12.3618,12.3618,12.4074,12.4074,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9999
0.008,0,0,0,0,0,0,0,0,0,12.3618,12.3618,12.4074,12.4074,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9997
0.01,0,0,0,0,0,0,0,0,0,12.1274,12.1274,12.1435,12.1435,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9995
0.012,0,0,0,0,0,0,0,0,0,12.1274,12.1274,12.1435,12.1435,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9992
0.014,0,0,0,0,0,0,0,0,0,12.1274,12.1274,12.1435,12.1435,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9988
0.016,0,0,0,0,0,0,0,0,0,12.1274,12.1274,12.1435,12.1435,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9984
0.018,0,0,0,0,0,0,0,0,0,12.1274,12.1274,12.1435,12.1435,0,0,0,0,0,0,0,0,0,0,0,0,0,3.998
0.02,0,0,0,0,0,0,0,0,0,12.1792,12.1792,12.2371,12.2371,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9976
0.022,0,0,0,0,0,0,0,0,0,12.1792,12.1792,12.2371,12.2371,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9973
0.024,0,0,0,0,0,0,0,0,0,12.1792,12.1792,12.2371,12.2371,0,0,0,0,0,0,0,0,0,0,0,0,0,3.997
0.026,0,0,0,0,0,0,0,0,0,12.1792,12.1792,12.2371,12.2371,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9968
0.028,0,0,0,0,0,0,0,0,0,12.1792,12.1792,12.2371,12.2371,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9967
0.03,0,0,0,0,0,0,0,0,0,12.2549,12.2549,12.3235,12.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9966
0.032,0,0,0,0,0,0,0,0,0,12.2549,12.2549,12.3235,12.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9966
0.034,0,0,0,0,0,0,0,0,0,12.2549,12.2549,12.3235,12.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9965
0.036,0,0,0,0,0,0,0,0,0,12.2549,12.2549,12.3235,12.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9964
0.038,0,0,0,0,0,0,0,0,0,12.2549,12.2549,12.3235,12.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9963
0.04,0,0,0,0,0,0,0,0,0,12.4118,12.4118,12.4305,12.4305,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9962
