time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
0,0,0,0,0,0,0,0,0,0,57.8332,57.8332,58.0472,58.0472,0,0,0,0,0,0,0,0,0,0,0,0,0,18.76
0.002,0,0,0,0,0,0,0,0,0,57.8332,57.8332,58.0472,58.0472,0,0,0,0,0,0,0,0,0,0,0,0,0,18.76
0.004,0,0,0,0,0,0,0,0,0,57.8332,57.8332,58.0472,58.0472,0,0,0,0,0,0,0,0,0,0,0,0,0,18.76
0.006,0,0,0,0,0,0,0,0,0,57.8332,57.8332,58.0472,58.0472,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7599
0.008,0,0,0,0,0,0,0,0,0,57.8332,57.8332,58.0472,58.0472,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7597
0.01,0,0,0,0,0,0,0,0,0,57.6742,57.6742,57.8572,57.8572,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7595
0.012,0,0,0,0,0,0,0,0,0,57.6742,57.6742,57.8572,57.8572,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7593
0.014,0,0,0,0,0,0,0,0,0,57.6742,57.6742,57.8572,57.8572,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7589
0.016,0,0,0,0,0,0,0,0,0,57.6742,57.6742,57.8572,57.8572,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7586
0.018,0,0,0,0,0,0,0,0,0,57.6742,57.6742,57.8572,57.8572,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7582
