time_series,imu_COG_acc_x,imu_COG_mag_y,imu_COG_mag_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,imu_COG_mag_x,imu_COG_mag_y_1,imu_COG_mag_z_1,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,rwa_FL,rwa_FR,rwa_RL,rwa_RR,veh_u
0,0,0,0,0,0,0,0,0,0,2.9405,2.9405,2.9519,2.9519,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.002,0,0,0,0,0,0,0,0,0,2.9405,2.9405,2.9519,2.9519,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.004,0,0,0,0,0,0,0,0,0,2.9405,2.9405,2.9519,2.9519,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.006,0,0,0,0,0,0,0,0,0,2.9405,2.9405,2.9519,2.9519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999
0.008,0,0,0,0,0,0,0,0,0,2.9405,2.9405,2.9519,2.9519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997
0.01,0,0,0,0,0,0,0,0,0,2.9009,2.9009,2.8828,2.8828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995
0.012,0,0,0,0,0,0,0,0,0,2.9009,2.9009,2.8828,2.8828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991
0.014,0,0,0,0,0,0,0,0,0,2.9009,2.9009,2.8828,2.8828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9988
0.016,0,0,0,0,0,0,0,0,0,2.9009,2.9009,2.8828,2.8828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9983
0.018,0,0,0,0,0,0,0,0,0,2.9009,2.9009,2.8828,2.8828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9979
0.02,0,0,0,0,0,0,0,0,0,3.0047,3.0047,3.0286,3.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975
0.022,0,0,0,0,0,0,0,0,0,3.0047,3.0047,3.0286,3.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9972
0.024,0,0,0,0,0,0,0,0,0,3.0047,3.0047,3.0286,3.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9969
0.026,0,0,0,0,0,0,0,0,0,3.0047,3.0047,3.0286,3.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9968
