time_series,imu_COG_acc_x,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,veh_u
0,0,92.3361,92.3361,92.6784,92.6784,0,0,0,0,0,0,0,0,0,30
0.002,0,92.3361,92.3361,92.6784,92.6784,0,0,0,0,0,0,0,0,0,30
0.004,0,92.3361,92.3361,92.6784,92.6784,0,0,0,0,0,0,0,0,0,30
0.006,0,92.3361,92.3361,92.6784,92.6784,0,0,0,0,0,0,0,0,0,29.9999
0.008,0,92.3361,92.3361,92.6784,92.6784,0,0,0,0,0,0,0,0,0,29.9998
0.01,0,92.2458,92.2458,92.5546,92.5546,0,0,0,0,0,0,0,0,0,29.9996
0.012,0,92.2458,92.2458,92.5546,92.5546,0,0,0,0,0,0,0,0,0,29.9993
0.014,0,92.2458,92.2458,92.5546,92.5546,0,0,0,0,0,0,0,0,0,29.999
0.016,0,92.2458,92.2458,92.5546,92.5546,0,0,0,0,0,0,0,0,0,29.9987
0.018,0,92.2458,92.2458,92.5546,92.5546,0,0,0,0,0,0,0,0,0,29.9983
0.02,0,92.2761,92.2761,92.6211,92.6211,0,0,0,0,0,0,0,0,0,29.998
0.022,0,92.2761,92.2761,92.6211,92.6211,0,0,0,0,0,0,0,0,0,29.9977
0.024,0,92.2761,92.2761,92.6211,92.6211,0,0,0,0,0,0,0,0,0,29.9974
0.026,0,92.2761,92.2761,92.6211,92.6211,0,0,0,0,0,0,0,0,0,29.9971
0.028,0,92.2761,92.2761,92.6211,92.6211,0,0,0,0,0,0,0,0,0,29.9969
0.03,0,92.2884,92.2884,92.6399,92.6399,0,0,0,0,0,0,0,0,0,29.9967
0.032,0,92.2884,92.2884,92.6399,92.6399,0,0,0,0,0,0,0,0,0,29.9965
0.034,0,92.2884,92.2884,92.6399,92.6399,0,0,0,0,0,0,0,0,0,29.9963
0.036,0,92.2884,92.2884,92.6399,92.6399,0,0,0,0,0,0,0,0,0,29.9961
0.038,0,92.2884,92.2884,92.6399,92.6399,0,0,0,0,0,0,0,0,0,29.9959
0.04,0,92.2694,92.2694,92.5977,92.5977,0,0,0,0,0,0,0,0,0,29.9957
0.042,0,92.2694,92.2694,92.5977,92.5977,0,0,0,0,0,0,0,0,0,29.9955
0.044,0,92.2694,92.2694,92.5977,92.5977,0,0,0,0,0,0,0,0,0,29.9953
0.046,0,92.2694,92.2694,92.5977,92.5977,0,0,0,0,0,0,0,0,0,29.995
0.048,0,92.2694,92.2694,92.5977,92.5977,0,0,0,0,0,0,0,0,0,29.9948
0.05,0,92.2656,92.2656,92.5999,92.5999,0,0,0,0,0,0,0,0,0,29.9945
0.052,0,92.2656,92.2656,92.5999,92.5999,0,0,0,0,0,0,0,0,0,29.9943
0.054,0,92.2656,92.2656,92.5999,92.5999,0,0,0,0,0,0,0,0,0,29.994
0.056,0,92.2656,92.2656,92.5999,92.5999,0,0,0,0,0,0,0,0,0,29.9937
0.058,0,92.2656,92.2656,92.5999,92.5999,0,0,0,0,0,0,0,0,0,29.9935
0.06,0,92.267,92.267,92.6103,92.6103,0,0,0,0,0,0,0,0,0,29.9933
0.062,0,92.267,92.267,92.6103,92.6103,0,0,0,0,0,0,0,0,0,29.993
0.064,0,92.267,92.267,92.6103,92.6103,0,0,0,0,0,0,0,0,0,29.9928
0.066,0,92.267,92.267,92.6103,92.6103,0,0,0,0,0,0,0,0,0,29.9926
0.068,0,92.267,92.267,92.6103,92.6103,0,0,0,0,0,0,0,0,0,29.9923
0.07,0,92.2617,92.2617,92.5986,92.5986,0,0,0,0,0,0,0,0,0,29.9921
0.072,0,92.2617,92.2617,92.5986,92.5986,0,0,0,0,0,0,0,0,0,29.9919
0.074,0,92.2617,92.2617,92.5986,92.5986,0,0,0,0,0,0,0,0,0,29.9917
0.076,0,92.2617,92.2617,92.5986,92.5986,0,0,0,0,0,0,0,0,0,29.9914
0.078,0,92.2617,92.2617,92.5986,92.5986,0,0,0,0,0,0,0,0,0,29.9912
0.08,0,92.257,92.257,92.5922,92.5922,0,0,0,0,0,0,0,0,0,29.991
0.082,0,92.257,92.257,92.5922,92.5922,0,0,0,0,0,0,0,0,0,29.9907
0.084,0,92.257,92.257,92.5922,92.5922,0,0,0,0,0,0,0,0,0,29.9905
0.086,0,92.257,92.257,92.5922,92.5922,0,0,0,0,0,0,0,0,0,29.9902
0.088,0,92.257,92.257,92.5922,92.5922,0,0,0,0,0,0,0,0,0,29.99
0.09,0,92.2543,92.2543,92.5931,92.5931,0,0,0,0,0,0,0,0,0,29.9898
0.092,0,92.2543,92.2543,92.5931,92.5931,0,0,0,0,0,0,0,0,0,29.9895
0.094,0,92.2543,92.2543,92.5931,92.5931,0,0,0,0,0,0,0,0,0,29.9893
0.096,0,92.2543,92.2543,92.5931,92.5931,0,0,0,0,0,0,0,0,0,29.989
0.098,0,92.2543,92.2543,92.5931,92.5931,0,0,0,0,0,0,0,0,0,29.9888
0.1,0,92.2507,92.2507,92.5889,92.5889,0,0,0,0,0,0,0,0,0,29.9886
