time_series,imu_COG_acc_x,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,veh_u
0,0,67.6516,67.6516,67.9024,67.9024,0,0,0,0,0,0,0,0,0,21.98
0.002,0,67.6516,67.6516,67.9024,67.9024,0,0,0,0,0,0,0,0,0,21.98
0.004,0,67.6516,67.6516,67.9024,67.9024,0,0,0,0,0,0,0,0,0,21.98
0.006,0,67.6516,67.6516,67.9024,67.9024,0,0,0,0,0,0,0,0,0,21.9799
0.008,0,67.6516,67.6516,67.9024,67.9024,0,0,0,0,0,0,0,0,0,21.9798
0.01,0,67.57,67.57,67.7893,67.7893,0,0,0,0,0,0,0,0,0,21.9795
0.012,0,67.57,67.57,67.7893,67.7893,0,0,0,0,0,0,0,0,0,21.9793
0.014,0,67.57,67.57,67.7893,67.7893,0,0,0,0,0,0,0,0,0,21.979
0.016,0,67.57,67.57,67.7893,67.7893,0,0,0,0,0,0,0,0,0,21.9786
0.018,0,67.57,67.57,67.7893,67.7893,0,0,0,0,0,0,0,0,0,21.9783
0.02,0,67.6139,67.6139,67.8711,67.8711,0,0,0,0,0,0,0,0,0,21.9779
0.022,0,67.6139,67.6139,67.8711,67.8711,0,0,0,0,0,0,0,0,0,21.9776
0.024,0,67.6139,67.6139,67.8711,67.8711,0,0,0,0,0,0,0,0,0,21.9773
0.026,0,67.6139,67.6139,67.8711,67.8711,0,0,0,0,0,0,0,0,0,21.9771
0.028,0,67.6139,67.6139,67.8711,67.8711,0,0,0,0,0,0,0,0,0,21.9769
0.03,0,67.6226,67.6226,67.8855,67.8855,0,0,0,0,0,0,0,0,0,21.9767
0.032,0,67.6226,67.6226,67.8855,67.8855,0,0,0,0,0,0,0,0,0,21.9765
0.034,0,67.6226,67.6226,67.8855,67.8855,0,0,0,0,0,0,0,0,0,21.9764
0.036,0,67.6226,67.6226,67.8855,67.8855,0,0,0,0,0,0,0,0,0,21.9762
0.038,0,67.6226,67.6226,67.8855,67.8855,0,0,0,0,0,0,0,0,0,21.9761
0.04,0,67.5945,67.5945,67.8281,67.8281,0,0,0,0,0,0,0,0,0,21.9759
0.042,0,67.5945,67.5945,67.8281,67.8281,0,0,0,0,0,0,0,0,0,21.9757
0.044,0,67.5945,67.5945,67.8281,67.8281,0,0,0,0,0,0,0,0,0,21.9754
0.046,0,67.5945,67.5945,67.8281,67.8281,0,0,0,0,0,0,0,0,0,21.9752
0.048,0,67.5945,67.5945,67.8281,67.8281,0,0,0,0,0,0,0,0,0,21.9749
0.05,0,67.5963,67.5963,67.8405,67.8405,0,0,0,0,0,0,0,0,0,21.9747
0.052,0,67.5963,67.5963,67.8405,67.8405,0,0,0,0,0,0,0,0,0,21.9744
0.054,0,67.5963,67.5963,67.8405,67.8405,0,0,0,0,0,0,0,0,0,21.9741
